,,,,,,,,
Number,NumberAssigned,NationalCode,AreaCode,Networkcode,SubscriberNumber,Golden,GW,SubscriberName
254207900420,Yes,254,20,790,0420,,,Cloud One CS02
254207900421,Yes,254,20,790,0421,,,Cloud One CS02
254207900422,Yes,254,20,790,0422,,,Cloud One CS02
254207900423,Yes,254,20,790,0423,,,Cloud One CS02
254207900424,Yes,254,20,790,0424,,,Cloud One CS02
254207900425,Yes,254,20,790,0425,,,Cloud One CS02
254207900426,Yes,254,20,790,0426,,,Cloud One CS02
254207900427,Yes,254,20,790,0427,,,Cloud One CS02
254207900428,Yes,254,20,790,0428,,,Cloud One CS02
254207900429,Yes,254,20,790,0429,,,Cloud One CS02
254207900430,Yes,254,20,790,0430,,,Cloud One CS02
254207900431,Yes,254,20,790,0431,,,Cloud One CS02
254207900432,Yes,254,20,790,0432,,,Cloud One CS02
254207900433,Yes,254,20,790,0433,,,Cloud One CS02
254207900434,Yes,254,20,790,0434,,,Cloud One CS02
254207900435,Yes,254,20,790,0435,,,Cloud One CS02
254207900436,Yes,254,20,790,0436,,,Cloud One CS02
254207900437,Yes,254,20,790,0437,,,Cloud One CS02
254207900438,Yes,254,20,790,0438,,,Cloud One CS02
254207900439,Yes,254,20,790,0439,,,Cloud One CS02
254207900440,Yes,254,20,790,0440,,,Cloud One CS02
254207900441,Yes,254,20,790,0441,,,Cloud One CS02
254207900442,Yes,254,20,790,0442,,,Cloud One CS02
254207900443,Yes,254,20,790,0443,,,Cloud One CS02
254207900444,Yes,254,20,790,0444,,,Cloud One CS02
254207900445,Yes,254,20,790,0445,,,Cloud One CS02
254207900446,Yes,254,20,790,0446,,,Cloud One CS02
254207900447,Yes,254,20,790,0447,,,Cloud One CS02
254207900448,Yes,254,20,790,0448,,,Cloud One CS02
254207900449,Yes,254,20,790,0449,,,Cloud One CS02
254207900450,Yes,254,20,790,0450,,,Cloud One CS02
254207900451,Yes,254,20,790,0451,,,Cloud One CS02
254207900452,Yes,254,20,790,0452,,,Cloud One CS02
254207900453,Yes,254,20,790,0453,,,Cloud One CS02
254207900454,Yes,254,20,790,0454,,,Cloud One CS02
254207900455,Yes,254,20,790,0455,,,Cloud One CS02
254207900456,Yes,254,20,790,0456,,,Cloud One CS02
254207900457,Yes,254,20,790,0457,,,Cloud One CS02
254207900458,Yes,254,20,790,0458,,,Cloud One CS02
254207900459,Yes,254,20,790,0459,,,Cloud One CS02
254207900460,Yes,254,20,790,0460,,,Cloud One CS02
254207900461,Yes,254,20,790,0461,,,Cloud One CS02
254207900462,Yes,254,20,790,0462,,,Cloud One CS02
254207900463,Yes,254,20,790,0463,,,Cloud One CS02
254207900464,Yes,254,20,790,0464,,,Cloud One CS02
254207900465,Yes,254,20,790,0465,,,Cloud One CS02
254207900466,Yes,254,20,790,0466,,,Cloud One CS02
254207900467,Yes,254,20,790,0467,,,Cloud One CS02
254207900468,Yes,254,20,790,0468,,,Cloud One CS02
254207900469,Yes,254,20,790,0469,,,Cloud One CS02
254207900470,Yes,254,20,790,0470,,,Cloud One CS02
254207900471,Yes,254,20,790,0471,,,Cloud One CS02
254207900472,Yes,254,20,790,0472,,,Cloud One CS02
254207900473,Yes,254,20,790,0473,,,Cloud One CS02
254207900474,Yes,254,20,790,0474,,,Cloud One CS02
254207900475,Yes,254,20,790,0475,,,Cloud One CS02
254207900476,Yes,254,20,790,0476,,,Cloud One CS02
254207900477,Yes,254,20,790,0477,,,Cloud One CS02
254207900478,Yes,254,20,790,0478,,,Cloud One CS02
254207900479,Yes,254,20,790,0479,,,Cloud One CS02
254207900480,Yes,254,20,790,0480,,,Cloud One CS02
254207900481,Yes,254,20,790,0481,,,Cloud One CS02
254207900482,Yes,254,20,790,0482,,,Cloud One CS02
254207900483,Yes,254,20,790,0483,,,Cloud One CS02
254207900484,Yes,254,20,790,0484,,,Cloud One CS02
254207900485,Yes,254,20,790,0485,,,Cloud One CS02
254207900486,Yes,254,20,790,0486,,,Cloud One CS02
254207900487,Yes,254,20,790,0487,,,Cloud One CS02
254207900488,Yes,254,20,790,0488,,,Cloud One CS02
254207900489,Yes,254,20,790,0489,,,Cloud One CS02
254207900490,Yes,254,20,790,0490,,,Cloud One CS02
254207900491,Yes,254,20,790,0491,,,Cloud One CS02
254207900492,Yes,254,20,790,0492,,,Cloud One CS02
254207900493,Yes,254,20,790,0493,,,Cloud One CS02
254207900494,Yes,254,20,790,0494,,,Cloud One CS02
254207900495,Yes,254,20,790,0495,,,Cloud One CS02
254207900496,Yes,254,20,790,0496,,,Cloud One CS02
254207900497,Yes,254,20,790,0497,,,Cloud One CS02
254207900498,Yes,254,20,790,0498,,,Cloud One CS02
254207900499,Yes,254,20,790,0499,,,Cloud One CS02
254207900500,Yes,254,20,790,0500,,LS02,Cloud One LS02
254207900501,Yes,254,20,790,0501,,LS02,Cloud One LS02
254207900502,Yes,254,20,790,0502,,LS02,Cloud One LS02
254207900503,Yes,254,20,790,0503,,LS02,Cloud One LS02
254207900504,Yes,254,20,790,0504,,LS02,Cloud One LS02
254207900505,Yes,254,20,790,0505,,LS02,Cloud One LS02
254207900506,Yes,254,20,790,0506,,LS02,Cloud One LS02
254207900507,Yes,254,20,790,0507,,LS02,Cloud One LS02
254207900508,Yes,254,20,790,0508,,LS02,Cloud One LS02
254207900509,Yes,254,20,790,0509,,LS02,Cloud One LS02
254207900510,Yes,254,20,790,0510,,LS02,Cloud One LS02
254207900511,Yes,254,20,790,0511,,LS02,Cloud One LS02
254207900512,Yes,254,20,790,0512,,LS02,Cloud One LS02
254207900513,Yes,254,20,790,0513,,LS02,Cloud One LS02
254207900514,Yes,254,20,790,0514,,LS02,Cloud One LS02
254207900515,Yes,254,20,790,0515,,LS02,Cloud One LS02
254207900516,Yes,254,20,790,0516,,LS02,Cloud One LS02
254207900517,Yes,254,20,790,0517,,LS02,Cloud One LS02
254207900518,Yes,254,20,790,0518,,LS02,Cloud One LS02
254207900519,Yes,254,20,790,0519,,LS02,Cloud One LS02
254207900520,Yes,254,20,790,0520,,LS02,Cloud One LS02
254207900521,Yes,254,20,790,0521,,LS02,Cloud One LS02
254207900522,Yes,254,20,790,0522,,LS02,Cloud One LS02
254207900523,Yes,254,20,790,0523,,LS02,Cloud One LS02
254207900524,Yes,254,20,790,0524,,LS02,Cloud One LS02
254207900525,Yes,254,20,790,0525,,LS02,Cloud One LS02
254207900526,Yes,254,20,790,0526,,LS02,Cloud One LS02
254207900527,Yes,254,20,790,0527,,LS02,Cloud One LS02
254207900528,Yes,254,20,790,0528,,LS02,Cloud One LS02
254207900529,Yes,254,20,790,0529,,LS02,Cloud One LS02
